Date,Pair,Strategy,Direction,Price,Size_USD,Vol_20,Hurst
2026-03-17,GBPUSD,Momentum,SHORT,1.3314,1508,0.0044,0.93
2026-03-17,USDCLP,Momentum,LONG,909.42,166,0.011,0.85
2026-03-17,USDCNY,Momentum,SHORT,6.9555,1803,0.0031,0.55
2026-03-17,USDCNY,TSMOM,SHORT,6.9555,7097,0.0031,0.55
2026-03-17,USDMXN,Momentum,SHORT,17.6836,156,0.0092,0.84
2026-03-17,USDPKR,Momentum,SHORT,279.0,1526,0.0044,0.0
2026-03-17,USDPKR,TSMOM,LONG,279.0,2967,0.0044,0.0
2026-03-17,USDPKR,Carry Trade,SHORT,279.0,1327,0.0044,0.0
2026-03-17,USDTRY,Momentum,LONG,44.1835,6594,0.0009,0.36
2026-03-17,USDTRY,TSMOM,LONG,44.1835,6538,0.0009,0.36
2026-03-17,AUDUSD,Long-Term G10,LONG,0.7068,15000,0.0074,0.84
2026-03-17,EURUSD,Long-Term G10,SHORT,1.15,15000,0.0046,0.72
2026-03-17,NZDUSD,Long-Term G10,SHORT,0.5854,15000,0.0073,0.92
2026-03-17,USDJPY,Long-Term G10,LONG,159.105,15000,0.0043,0.57
