Pair,Groupe,Feature,Type,Forward,IC,ICIR,IC_sign,p-value,n_obs,pct_pos,pct_pos_raw,Carry,Verdict
AUDUSD,G10,Vol_20,Existante,5j,0.011,0.092,1,0.5849,2471,51%,0.5124,0.475,JETTE
AUDUSD,G10,Hurst,Existante,5j,0.0085,0.369,1,0.6745,2471,60%,0.6033,0.475,JETTE
AUDUSD,G10,Mom_20,Nouvelle,5j,-0.0189,-0.662,-1,0.3468,2471,24%,0.2397,0.475,JETTE
AUDUSD,G10,Mom_60,Nouvelle,5j,-0.0219,-1.1,-1,0.2766,2471,14%,0.1405,0.475,JETTE
AUDUSD,G10,Mom_120,Nouvelle,5j,-0.0124,-1.268,-1,0.5394,2471,12%,0.124,0.475,JETTE
AUDUSD,G10,Mom_Ratio,Nouvelle,5j,-0.0199,-0.444,-1,0.3224,2471,33%,0.3306,0.475,JETTE
AUDUSD,G10,BB_Width,Nouvelle,5j,-0.0011,0.009,-1,0.9556,2471,41%,0.4132,0.475,JETTE
AUDUSD,G10,Dist_MA20,Nouvelle,5j,-0.0166,-0.584,-1,0.4095,2471,36%,0.3554,0.475,JETTE
AUDUSD,G10,Vol_20,Existante,20j,0.0026,0.047,1,0.8974,2456,48%,0.475,0.475,JETTE
AUDUSD,G10,Hurst,Existante,20j,0.0087,0.486,1,0.6672,2456,64%,0.6417,0.475,JETTE
AUDUSD,G10,Mom_20,Nouvelle,20j,-0.0013,-0.227,-1,0.9503,2456,43%,0.4333,0.475,JETTE
AUDUSD,G10,Mom_60,Nouvelle,20j,-0.0217,-0.797,-1,0.2814,2456,22%,0.2167,0.475,JETTE
AUDUSD,G10,Mom_120,Nouvelle,20j,0.0024,-0.37,1,0.9068,2456,39%,0.3917,0.475,JETTE
AUDUSD,G10,Mom_Ratio,Nouvelle,20j,-0.0016,-0.178,-1,0.9385,2456,42%,0.4167,0.475,JETTE
AUDUSD,G10,BB_Width,Nouvelle,20j,0.0124,0.286,1,0.5387,2456,54%,0.5417,0.475,JETTE
AUDUSD,G10,Dist_MA20,Nouvelle,20j,-0.0046,-0.114,-1,0.8186,2456,54%,0.5417,0.475,JETTE
EURUSD,G10,Vol_20,Existante,5j,0.015,0.366,1,0.455,2471,69%,0.686,-1.625,JETTE
EURUSD,G10,Hurst,Existante,5j,0.0064,0.161,1,0.7495,2471,54%,0.5372,-1.625,JETTE
EURUSD,G10,Mom_20,Nouvelle,5j,-0.0057,-0.47,-1,0.7756,2471,31%,0.3058,-1.625,JETTE
EURUSD,G10,Mom_60,Nouvelle,5j,0.0036,-0.681,1,0.8579,2471,32%,0.3223,-1.625,JETTE
EURUSD,G10,Mom_120,Nouvelle,5j,0.0118,-0.761,1,0.5584,2471,24%,0.2397,-1.625,JETTE
EURUSD,G10,Mom_Ratio,Nouvelle,5j,-0.0003,-0.14,-1,0.9884,2471,51%,0.5124,-1.625,JETTE
EURUSD,G10,BB_Width,Nouvelle,5j,0.015,0.349,1,0.4555,2471,64%,0.6446,-1.625,JETTE
EURUSD,G10,Dist_MA20,Nouvelle,5j,-0.0089,-0.491,-1,0.66,2471,36%,0.3554,-1.625,JETTE
EURUSD,G10,Vol_20,Existante,20j,0.0151,0.282,1,0.4544,2456,56%,0.5583,-1.625,JETTE
