Pair,Groupe,nb_garde,nb_filtre,best_ICIR,mean_ICIR,carry
USDCNY,EM,4,0,1.023,0.8375,0.525
USDTRY,EM,3,2,1.224,0.9324,-38.875
USDPKR,EM,3,2,0.809,0.39540000000000003,-9.375
USDHKD,EM,2,0,0.965,0.854,-1.625
USDMXN,EM,1,3,1.599,-1.03,-5.375
USDCLP,EM,1,1,1.013,-0.8314999999999999,-1.375
USDZAR,EM,1,2,0.959,-0.7773333333333333,-3.875
GBPUSD,G10,1,0,0.554,0.554,0.125
USDNOK,G10,0,1,1.483,-1.483,-0.625
NZDUSD,G10,0,2,0.963,-0.9359999999999999,-0.125
USDCAD,G10,0,1,0.896,-0.896,1.375
USDCHF,G10,0,1,0.872,-0.872,3.625
USDRUB,EM,0,4,0.78,-0.12700000000000003,-17.375
USDPLN,EM,0,1,0.608,-0.608,-1.625
USDINR,EM,0,1,0.481,-0.481,-2.625
USDBRL,EM,0,1,0.358,0.358,-11.125
USDJPY,G10,0,1,0.218,0.218,2.875
