Pair,Feature,Forward,IC_mean,IC_sign,ICIR
GBPUSD,Vol_20,20j,0.0406,1,0.554
GBPUSD,Hurst,20j,0.0084,1,0.119
GBPUSD,Mom_20,20j,0.0093,1,-0.126
GBPUSD,Mom_60,20j,0.0134,1,-0.07
GBPUSD,Mom_120,20j,0.0029,1,-0.584
GBPUSD,Mom_Ratio,20j,0.0175,1,0.05
GBPUSD,BB_Width,20j,0.0166,1,0.301
GBPUSD,Dist_MA20,20j,0.0078,1,-0.053
USDCLP,Vol_20,5j,-0.0616,-1,-1.013
USDCLP,Hurst,5j,0.0217,1,0.262
USDCLP,Mom_20,5j,-0.0151,-1,-0.624
USDCLP,Mom_60,5j,0.0077,1,-0.373
USDCLP,Mom_120,5j,0.0126,1,-0.434
USDCLP,Mom_Ratio,5j,-0.0118,-1,-0.337
USDCLP,BB_Width,5j,-0.0341,-1,-0.65
USDCLP,Dist_MA20,5j,0.0246,1,0.181
USDCNY,Vol_20,5j,0.0131,1,-0.176
USDCNY,Hurst,5j,0.0523,1,0.752
USDCNY,Mom_20,5j,0.0895,1,0.886
USDCNY,Mom_60,5j,0.0625,1,0.182
USDCNY,Mom_120,5j,0.0423,1,-0.059
USDCNY,Mom_Ratio,5j,0.086,1,1.023
USDCNY,BB_Width,5j,0.0098,1,-0.332
USDCNY,Dist_MA20,5j,0.082,1,0.689
USDHKD,Vol_20,5j,0.0609,1,0.743
USDHKD,Hurst,5j,-0.0061,-1,-0.022
USDHKD,Mom_20,5j,0.0208,1,-0.171
USDHKD,Mom_60,5j,-0.002,-1,-0.678
USDHKD,Mom_120,5j,-0.0246,-1,-0.63
USDHKD,Mom_Ratio,5j,0.0127,1,-0.214
USDHKD,BB_Width,5j,0.0812,1,0.965
USDHKD,Dist_MA20,5j,0.034,1,0.162
USDMXN,Vol_20,5j,-0.0551,-1,-1.599
USDMXN,Hurst,5j,-0.0157,-1,-0.495
USDMXN,Mom_20,5j,-0.0394,-1,-1.094
USDMXN,Mom_60,5j,-0.0111,-1,-0.905
USDMXN,Mom_120,5j,-0.0124,-1,-0.987
USDMXN,Mom_Ratio,5j,-0.0307,-1,-0.747
USDMXN,BB_Width,5j,-0.0208,-1,-0.458
USDMXN,Dist_MA20,5j,-0.0334,-1,-0.68
USDPKR,Vol_20,5j,0.0197,1,0.169
USDPKR,Hurst,5j,0.0015,1,-0.016
USDPKR,Mom_20,5j,0.0503,1,0.404
USDPKR,Mom_60,5j,0.0483,1,0.275
USDPKR,Mom_120,5j,0.0429,1,-0.205
USDPKR,Mom_Ratio,5j,0.0514,1,0.694
USDPKR,BB_Width,5j,0.0321,1,-0.067
USDPKR,Dist_MA20,5j,0.0821,1,0.809
USDTRY,Vol_20,5j,-0.0015,-1,0.164
USDTRY,Hurst,5j,0.0213,1,0.217
USDTRY,Mom_20,5j,0.0866,1,1.136
USDTRY,Mom_60,5j,0.0731,1,0.58
USDTRY,Mom_120,5j,0.0178,1,-0.305
USDTRY,Mom_Ratio,5j,0.0822,1,1.224
USDTRY,BB_Width,5j,0.0436,1,0.591
USDTRY,Dist_MA20,5j,0.0973,1,1.131
USDZAR,Vol_20,5j,-0.0245,-1,-0.608
USDZAR,Hurst,5j,0.0157,1,-0.217
USDZAR,Mom_20,5j,-0.0416,-1,-0.959
USDZAR,Mom_60,5j,-0.0231,-1,-1.069
USDZAR,Mom_120,5j,-0.0128,-1,-1.148
USDZAR,Mom_Ratio,5j,-0.0333,-1,-0.598
USDZAR,BB_Width,5j,-0.0107,-1,-0.194
USDZAR,Dist_MA20,5j,-0.0379,-1,-0.775
