Pair,Strategy,IC_mean
USDCLP,Momentum,0.1384
USDCLP,Mean-Reversion,0.0724
USDCLP,TSMOM,0.1921
USDCLP,Carry Trade,0.1921
USDPKR,Momentum,0.1569
USDPKR,Mean-Reversion,0.1462
USDPKR,TSMOM,0.4156
USDPKR,Carry Trade,-0.077
USDCNY,Momentum,0.3053
USDCNY,Mean-Reversion,0.2186
USDCNY,TSMOM,-0.13
USDCNY,Carry Trade,0.0237
USDZAR,Momentum,0.064
USDZAR,Mean-Reversion,0.049
USDZAR,TSMOM,0.0586
USDZAR,Carry Trade,-0.0269
USDHKD,Momentum,0.3551
USDHKD,Mean-Reversion,0.42
USDHKD,TSMOM,0.42
USDHKD,Carry Trade,0.42
GBPUSD,Momentum,0.2093
GBPUSD,Mean-Reversion,0.2253
GBPUSD,TSMOM,0.1707
GBPUSD,Carry Trade,0.1707
USDTRY,Momentum,0.1541
USDTRY,Mean-Reversion,0.2097
USDTRY,TSMOM,0.0733
USDTRY,Carry Trade,0.2377
USDMXN,Momentum,-0.0085
USDMXN,Mean-Reversion,0.0058
USDMXN,TSMOM,0.0516
USDMXN,Carry Trade,0.2514
